Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
ZAF,2008-04-01,2008-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2008,2008,Index,63.203360,X,base year is 2015
ZAF,2009-04-01,2009-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2009,2009,Index,71.985600,X,base year is 2015
ZAF,2010-04-01,2010-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2010,2010,Index,72.561490,X,base year is 2015
ZAF,2011-04-01,2011-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2011,2011,Index,76.016800,X,base year is 2015
ZAF,2012-04-01,2012-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2012,2012,Index,82.495500,X,base year is 2015
ZAF,2013-04-01,2013-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2013,2013,Index,87.390520,X,base year is 2015
ZAF,2014-04-01,2014-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2014,2014,Index,95.021000,X,base year is 2015
ZAF,2015-04-01,2015-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2015,2015,Index,99.196160,X,base year is 2015
ZAF,2016-04-01,2016-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2016,2016,Index,111.433700,X,base year is 2015
ZAF,2017-04-01,2017-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2017,2017,Index,118.776200,X,base year is 2015
ZAF,2018-04-01,2018-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2018,2018,Index,122.807400,X,base year is 2015
ZAF,2019-04-01,2019-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2019,2019,Index,126.550700,X,base year is 2015
ZAF,2020-04-01,2020-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2020,2020,Index,131.877600,X,base year is 2015
ZAF,2021-04-01,2021-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2021,2021,Index,140.228000,X,base year is 2015
ZAF,2022-04-01,2022-04-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2022,2022,Index,148.578300,X,base year is 2015
ZAF,2000-05-01,2000-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2000,2000,Index,35.453850,X,base year is 2015
ZAF,2001-05-01,2001-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2001,2001,Index,36.832420,X,base year is 2015
ZAF,2002-05-01,2002-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,Index,42.564490,X,base year is 2015
ZAF,2003-05-01,2003-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,Index,47.364650,X,base year is 2015
ZAF,2004-05-01,2004-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,Index,48.178900,X,base year is 2015
ZAF,2005-05-01,2005-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,Index,48.507230,X,base year is 2015
ZAF,2006-05-01,2006-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,Index,51.087890,X,base year is 2015
ZAF,2007-05-01,2007-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,Index,55.704190,X,base year is 2015
ZAF,2008-05-01,2008-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,Index,64.355130,X,base year is 2015
ZAF,2009-05-01,2009-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,Index,72.273540,X,base year is 2015
ZAF,2010-05-01,2010-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,Index,72.705460,X,base year is 2015
ZAF,2011-05-01,2011-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,Index,77.168560,X,base year is 2015
ZAF,2012-05-01,2012-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,Index,82.495500,X,base year is 2015
ZAF,2013-05-01,2013-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,Index,87.390520,X,base year is 2015
ZAF,2014-05-01,2014-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,Index,95.740850,X,base year is 2015
ZAF,2015-05-01,2015-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,Index,99.772050,X,base year is 2015
ZAF,2016-05-01,2016-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,Index,111.721700,X,base year is 2015
ZAF,2017-05-01,2017-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,Index,119.352100,X,base year is 2015
ZAF,2018-05-01,2018-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,Index,122.663500,X,base year is 2015
ZAF,2019-05-01,2019-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,Index,126.982600,X,base year is 2015
ZAF,2020-05-01,2020-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,Index,132.309500,X,base year is 2015
ZAF,2021-05-01,2021-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,Index,141.235700,X,base year is 2015
ZAF,2022-05-01,2022-05-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,Index,151.889600,X,base year is 2015
ZAF,2000-06-01,2000-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,Index,35.665940,X,base year is 2015
ZAF,2001-06-01,2001-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,Index,36.797070,X,base year is 2015
ZAF,2002-06-01,2002-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,Index,43.339340,X,base year is 2015
